Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201700000001,17,1,11,1820,5,2,1,1,1,477,rue nationale,M,5051326,0292191,590
201700000002,17,2,13,1630,1,2,3,1,3,005,5 rue sonneville,M,5053611,0295314,590
201700000003,17,3,7,1150,1,2,9,1,5,052,rue Jules Guesde,M,5052174,0288786,590
201700000004,17,4,22,1300,1,2,1,1,6,005,46 rue Sonneville,M,5053723,0295700,590
201700000005,17,5,20,1230,1,2,1,1,2,011,Rue roger salengro,M,5052999,0293798,590
201700000006,17,5,30,1400,1,1,1,1,7,005,Route des ansereuilles,M,5054956,0294679,590
201700000007,17,6,30,2140,1,2,1,1,3,477,"38, rue Jules Guesde",M,5051159,0290832,590
201700000008,17,7,7,1740,1,2,1,1,1,477,116 rue camille desmouli,M,5050902,0291391,590
201700000009,17,12,21,830,1,1,1,2,6,005,route des ansereuilles,M,5055120,0294735,590
201700000010,17,6,29,620,2,1,6,1,7,250,route départementale 141,M,5059231,0289663,590
201700000011,17,7,7,1715,1,2,9,1,6,051,29 rue du général lecler,M,5053167,0280677,590
201700000012,17,9,24,1638,1,1,1,1,7,524,D145,M,5057954,0290483,590
201700000013,17,11,30,715,2,1,1,2,1,257,rue du vert touquet,M,5062351,0285818,590
201700000014,17,12,17,1630,3,1,1,2,1,524,D145,M,5058064,0290676,590
201700000015,17,1,5,605,5,1,1,1,7,586,D19 - rue de Lille,M,5051584,0315609,590
201700000016,17,3,17,800,1,2,1,1,5,256,Boulevard du petit quinq,M,5057672,0311491,590
201700000017,17,5,10,940,1,2,1,1,6,586,37 rue de roubaix,M,5052733,0317197,590
201700000018,17,6,20,1410,1,1,3,7,3,034,D 549 - Route de Pont -à,M,5053136,0309178,590
201700000019,17,8,9,745,1,1,6,1,3,034,D54,M,5054769,0310034,590
201700000020,17,9,26,845,1,1,1,1,6,256,CD54 - AXE RELIANT LES C,M,5055176,0311011,590
201700000021,17,9,25,815,1,1,2,1,5,129,cd  549,M,5049627,0319113,590
201700000022,17,12,27,1200,1,1,2,1,3,586,rue de wachemy,M,5054129,0318902,590
201700000023,17,9,16,1855,1,2,1,1,3,452,186 rue Denis cordonnier,M,5045836,0302395,590
201700000024,17,1,26,2250,3,1,1,1,6,084,D943,M,5068507,0237248,590
201700000025,17,4,11,1115,1,1,1,1,6,578,5 rue d'aire,M,5068300,0249978,590
201700000026,17,4,10,1545,1,2,2,1,3,308,139 grand place,M,5075677,0252148,590
201700000027,17,7,16,2220,3,1,1,1,6,416,RD916,M,5068343,0251129,590
201700000028,17,8,5,955,1,2,3,1,3,084,rue du croquet,M,5069467,0240615,590
201700000029,17,9,21,1830,1,1,1,1,6,084,RD 943 - MONT DU PIL,M,5068572,0237300,590
201700000030,17,10,3,710,5,2,1,1,6,416,68 place de l'hotel de v,M,5069162,0251553,590
201700000031,17,10,3,1600,1,1,3,1,2,308,rue de  steenvoorde,M,5076191,0255746,590
201700000032,17,10,22,1030,1,1,1,1,2,084,RD 943 - Mont du pil,M,5066416,0239435,590
201700000033,17,11,1,1900,3,1,1,1,6,634,RUE DE CASSEL,M,5073443,0247076,590
201700000034,17,11,24,1745,5,2,1,3,1,582,1924 rue de la gare,M,5070965,0263167,590
201700000035,17,3,11,1300,1,1,1,1,1,535,RD318 Route du Parc,M,5077746,0271529,590
201700000036,17,4,3,1730,1,1,1,1,6,401,373 Balassche Straete,M,5075502,0269959,590
201700000037,17,4,17,1732,1,1,1,1,6,401,RD 18,M,5076598,0266664,590
201700000038,17,7,7,2044,1,1,3,1,6,086,chemin de westoutre,M,5078720,0273169,590
201700000039,17,10,24,715,5,1,1,2,6,535,CD 318 - Route du parc,M,5077746,0271529,590
201700000040,17,2,27,1415,1,1,1,6,6,581,CD 122,M,5066313,0276251,590
201700000041,17,3,2,1645,1,2,9,1,6,212,rue du collège,M,5064781,0271953,590
201700000042,17,3,7,805,1,2,1,1,6,268,rue de la gendarmerie,M,5063688,0273420,590
201700000043,17,4,15,1135,1,2,1,1,6,212,rue du collège,M,5064736,0272026,590
201700000044,17,4,30,1325,1,2,1,1,3,180,rue du calvaire,M,5068232,0271895,590
201700000045,17,5,27,1100,1,2,6,1,6,268,rue Général DE GAULLE,M,5064103,0272270,590
201700000046,17,7,4,1630,1,1,1,1,1,268,rue de la lys,M,5064883,0276072,590
201700000047,17,7,19,2000,1,2,1,1,6,268,54 rue de la gendarmerie,M,5063752,0272664,590
201700000048,17,11,6,730,2,1,1,1,6,212,route de Merville,M,5064247,0270457,590
201700000049,17,12,1,1810,3,1,1,9,6,581,"15, chemin de la Blanche",M,5069756,0275167,590
201700000050,17,2,17,1705,1,2,1,1,6,400,24 rue Simone Weil,M,5064512,0264696,590
201700000051,17,4,15,1820,1,2,1,1,6,400,3 rue Thiers,M,5064340,0263931,590
201700000052,17,8,15,1920,1,2,3,1,3,400,rue du docteur rousseau,M,5063681,0264115,590
201700000053,17,10,17,700,5,2,1,8,6,293,Rue du 11 Novembre,M,5064282,0253978,590
201700000054,17,12,22,1930,3,1,1,1,1,400,D122,M,5062986,0266636,590
201700000055,17,4,22,1845,1,1,4,1,1,275,CD 90  - carrefour de l',M,5059063,0322887,590
201700000056,17,4,25,1730,1,2,1,1,3,124,120 Grand Rue,M,5058957,0326818,590
201700000057,17,7,28,1525,1,2,2,1,2,602,1 Route  Nationale,M,5061121,0318819,590
201700000058,17,9,23,1445,1,2,3,1,1,044,Face au commerce ALDI 12,M,5060791,0327096,590
201700000059,17,10,23,1045,1,2,2,8,6,044,rue Deffontaines,M,5061457,0323095,590
201700000060,17,10,30,100,3,1,1,2,6,044,CD90 rue de SAINT AMAND,M,5060838,0322960,590
201700000061,17,12,27,1330,1,2,3,1,3,146,37 route  nationale,M,5061138,0319851,590
201700000062,17,4,4,715,1,2,3,1,3,258,rue Henri  connynck,M,5053189,0320942,590
201700000063,17,8,6,650,1,2,1,1,6,419,122 rue de Douai,M,5052285,0328103,590
201700000064,17,8,26,515,4,2,1,1,6,419,route de saint amand,M,5051070,0332461,590
201700000065,17,10,31,1030,1,2,3,1,4,096,1 rue maurice molhant D9,M,5056090,0323893,590
201700000066,17,11,9,1135,1,2,3,1,6,258,rue de  Fournes,M,5052745,0323284,590
201700000067,17,12,16,1230,1,1,1,2,2,458,route de péronne au nive,M,5056992,0316904,590
201700000068,17,12,27,1330,1,1,1,1,6,419,224 ROUTE DE ST AMAND -,M,5051338,0331727,590
201700000069,17,1,11,645,3,1,1,2,6,252,rocade de la lys CD945,M,5070249,0293447,590
201700000070,17,2,7,1835,5,2,1,2,6,482,RUE DE LINSELLES,M,5071607,0300220,590
201700000071,17,4,21,1245,1,1,1,1,6,252,4584 chemin de l'aventur,M,5069316,0295514,590
201700000072,17,6,6,600,1,2,1,2,2,611,3 rue de messines,M,5067232,0302002,590
201700000073,17,6,17,1930,1,1,1,7,3,643,face au 3 route d'arment,M,5074239,0296804,590
201700000074,17,7,21,710,1,1,1,1,6,482,départementale 36,M,5071813,0302724,590
201700000075,17,7,26,1215,1,2,1,1,6,611,route de lambersart,M,5066410,0301029,590
201700000076,17,9,26,1625,1,1,1,1,1,643,route d'Armentières,M,5074378,0297032,590
201700000077,17,9,27,1250,1,1,6,1,3,173,CD 945 HAMEAU BELLEVUE,M,5072841,0296986,590
201700000078,17,10,15,1946,5,1,3,1,6,173,Intersection RD 945,M,5073014,0295068,590
201700000079,17,2,27,1625,1,2,1,1,6,480,31 rue Jean Monnet,M,5029064,0351383,590
201700000080,17,6,4,1645,1,1,1,1,6,348,route d' avesnes,M,5026610,0335090,590
201700000081,17,6,23,1620,1,2,3,1,3,092,croisement rue Emmanuel,M,5028209,0330895,590
201700000082,17,7,22,1936,2,1,1,8,6,348,Rue d'hordain - hainaut,M,5027343,0333219,590
201700000083,17,8,7,805,1,1,2,1,3,038,Carrefour D81-D449,M,5026485,0337870,590
201700000084,17,10,5,730,2,1,9,1,1,285,CD 88,M,5026564,0341198,590
201700000085,17,10,27,650,3,2,3,1,3,285,Route de Fleury - D955,M,5026915,0340890,590
201700000086,17,12,1,2300,3,2,1,8,6,645,16 route de MARQUETTE,M,5027353,0325793,590
201700000087,17,1,4,1340,1,2,3,2,7,233,route de  guersignies,M,5012847,0395496,590
201700000088,17,1,4,1340,1,2,3,2,7,233,route de guersignies,M,5012847,0395496,590
201700000089,17,3,11,2000,3,2,1,1,7,177,18 route de Taisnières,M,5014039,0385814,590
201700000090,17,3,25,1255,1,1,1,1,2,177,CD 962,M,5014152,0385944,590
201700000091,17,5,6,10,5,2,1,1,6,036,59 rue Léo Lagrange,M,5012336,0393080,590
201700000092,17,6,23,1955,2,2,1,7,6,093,chemin de mont orgueil,M,5005823,0389344,590
201700000093,17,7,2,2140,2,2,1,1,1,241,D 965,M,5004158,0389237,590
201700000094,17,7,7,1840,1,1,1,1,1,188,lieu le Pot de Vin,M,5018440,0390161,590
201700000095,17,8,14,2200,3,1,1,1,1,181,NATIONALE 2,M,5017455,0395168,590
201700000096,17,10,21,1715,1,2,1,1,6,035,Route de Sains,M,5011290,0394554,590
201700000097,17,1,16,1730,5,2,1,1,6,249,rue cousin Corbier,M,5001572,0403944,590
201700000098,17,3,4,1430,1,2,6,1,6,249,Rue Léo Lagrange,M,5001832,0404941,590
201700000099,17,3,22,2030,5,2,6,1,1,249,avenue du général de gau,M,5001860,0405058,590
